twitter_id,date,tweet
1546637204855746560,2022-07-11 23:26:59+00:00,"b'RT @TheView: .@kevinjonas and @FrankieJonas tell us all about co-hosting the new @ABCNetwork show, @ClaimToFameABC, that features our own @\xe2\x80\xa6'"
1546584881198559232,2022-07-11 19:59:04+00:00,b'Press day for @ClaimToFameABC! Can\xe2\x80\x99t wait for everyone to see the premiere tonight at 10/9c \xf0\x9f\x98\x8e https://t.co/kTLoPr7BMG'
1546527665376468992,2022-07-11 16:11:43+00:00,b'Went to see minions\xe2\x80\xa6 my excitement for #ClaimToFame only Gru. Who\xe2\x80\x99s ready for the PREMIERE?? Tune in tonight at 10/9c on ABC! @ClaimToFameABC https://t.co/staje2ku0S'
1546494529041092611,2022-07-11 14:00:02+00:00,"b""Tonight at 10/9c on ABC, who will be the last one standing when celebrity relatives compete to keep their identity a secret? \xf0\x9f\x91\x80 Don't miss the series premiere of #ClaimtoFame, hosted by me and @FrankieJonas! Stream on Hulu. https://t.co/JTUioX0RZ4"""
1545493596878430208,2022-07-08 19:42:42+00:00,b'The #ClaimToFame contestants have their own hidden talents\xe2\x80\xa6 does talent truly run in the family? Watch the premiere this Monday to find out \xf0\x9f\x91\x80 @ClaimToFameABC https://t.co/HLbXaCU5PE'
1544051737677312000,2022-07-04 20:13:16+00:00,b'Two tickets to the Minons movie and only one week left until #ClaimToFame \xf0\x9f\xa4\xa9 @ClaimToFameABC https://t.co/NZhcsyKfoY'
1539712276290080768,2022-06-22 20:49:47+00:00,b'What\xe2\x80\x99s your #ClaimToFame?? Drop your answer in the replies \xf0\x9f\xa4\xa9 https://t.co/2av9gQHKOR'
1539702364558413824,2022-06-22 20:10:24+00:00,b'What are we doing today @FrankieJonas? #ClaimToFame https://t.co/IL1a3eLnWI'
1537558512472993792,2022-06-16 22:11:30+00:00,b'Being there matters \xe2\x9d\xa4\xef\xb8\x8f Thank you @people!! Grab your copy this Friday https://t.co/bPcO8MbqVx'
1537123010972250113,2022-06-15 17:20:58+00:00,b'Get ready for the wildest competition ever!! See who can keep their identity a secret on #ClaimToFame \xf0\x9f\xa4\xa9 Premiering July 11th on ABC and streaming on Hulu https://t.co/by4TPGUJ04'
1536398495287869440,2022-06-13 17:22:00+00:00,b'This Vegas Residency was so much fun. Thank you to each and every person who came out to see us at the shows these past two weeks. We love you! https://t.co/JwCz2dX30V'
1535354275303284736,2022-06-10 20:12:39+00:00,b'Another amazing show in the books!! We\xe2\x80\x99re back on stage in Vegas again tonight \xf0\x9f\x98\x8e https://t.co/si72Tn1Hb7'
1535089797798121473,2022-06-10 02:41:43+00:00,b'Vegas Show #3 tonight! Let\xe2\x80\x99s go!! \xf0\x9f\xa5\x83 https://t.co/VWqpIWWkFp'
1533981930898657281,2022-06-07 01:19:26+00:00,b'Yer a Wizard Harry \xf0\x9f\xaa\x84 https://t.co/b7vN6rBgph'
1533563504770183168,2022-06-05 21:36:46+00:00,b'Wow wow wow. 2 Vegas shows down\xe2\x80\xa6 Hope we get to see you next week for the last 3 shows. Let\xe2\x80\x99s get it!! https://t.co/yxTLCV5Zf6'
1533116980080697346,2022-06-04 16:02:26+00:00,b'Last night was a dream! Thank you for coming to night 1 see you tonight.  Let\xe2\x80\x99s get it!! https://t.co/yTRK7g23ks'
1532756021382262784,2022-06-03 16:08:07+00:00,b'Viva Las Vegas! Can\xe2\x80\x99t wait to get back on stage and play these songs for you. Let\xe2\x80\x99s get it!! https://t.co/aHP29dUe0W'
1532550017021382656,2022-06-03 02:29:32+00:00,b'@Madcart12 @jonasbrothers Love it!!'
1532549987615137793,2022-06-03 02:29:25+00:00,b'RT @Madcart12: I GOT KEVINS LOVE BUG GUITAR IM CRYING @kevinjonas @jonasbrothers https://t.co/nPXyMYvTRg'
1532543967085985792,2022-06-03 02:05:29+00:00,b'RT @jess_frausto: I GOT THE BURNIN UP SHIRT @jonasbrothers @joejonas @nickjonas @kevinjonas https://t.co/wrDpAMntbN'
1531763919722754048,2022-05-31 22:25:51+00:00,"b""The Jonas Brothers Pawn Shop is open in Las Vegas this week on Thursday, June 2nd, Sunday, June 5th, and Sunday, June 12. We're sending out the invites on Scriber in the next hour. Text GO to 1-844-228-4544 to join Team Jonas! https://t.co/d42bVeHPfE"""
1531685717855772672,2022-05-31 17:15:07+00:00,b'Team Jonas is now on Scriber \xf0\x9f\x98\x8e Text GO to 1-844-228-4544 \n\nYou\xe2\x80\x99ll want to be a part of this \xf0\x9f\x91\x80 \n\n*US Users Only https://t.co/yXWjN3Uox8'
1530687540801548289,2022-05-28 23:08:43+00:00,b'@elonmusk @BillyM2k I don\xe2\x80\x99t know ask the DMV'
1529920080972115968,2022-05-26 20:19:06+00:00,b'https://t.co/DALX0VrAQ6'
1528090331895500801,2022-05-21 19:08:20+00:00,b'At this point how do you even pick a set list\xe2\x80\xa6.'
1527804492359405568,2022-05-21 00:12:30+00:00,b'Las Vegas shows are officially only 2 weeks away \xf0\x9f\xa5\xb3 We\xe2\x80\x99ve got a lot of fun surprises up our sleeves\xe2\x80\xa6 Get ready!! https://t.co/iPl056ISag'
1527755480205910016,2022-05-20 20:57:45+00:00,"b'Twelve contestants face the ultimate challenge: who can keep their celebrity relative a secret the longest?? \xf0\x9f\xa4\xab #ClaimToFame premieres July 11th on @ABCNetwork, co hosted by myself and @FrankieJonas!! https://t.co/o4fikCLUnY'"
1522711276027187200,2022-05-06 22:53:53+00:00,b'All participation is subject to the complete rules at https://t.co/Df4dg006Cw'
1522711272730423296,2022-05-06 22:53:52+00:00,"b'\xf0\x9f\x97\xa3I HAVE SECURED THE BAG \xf0\x9f\x97\xa3 Only a few days left to enter @robspopcorn\xe2\x80\x99s #SecuredTheBagAtWalmartContest!! Head over to your local Walmart, locate that beautiful Rob\xe2\x80\x99s Popcorn display and snap your selfie!! Follow @robspopcorn for details \xf0\x9f\x8d\xbf https://t.co/kuJdsfEv5n'"
1521663676167507969,2022-05-04 01:31:06+00:00,b'One month to Las Vegas \xf0\x9f\xa5\xb3 Counting down the days til we see your beautiful faces again!! https://t.co/o5JKTxFCPQ'
1518665559713406978,2022-04-25 18:57:39+00:00,b'Will we now get the edit tweet option?'
1517217732172734466,2022-04-21 19:04:30+00:00,b'You could win an all expenses paid VIP trip to see us in Vegas and MORE!! Details at @robspopcorn. Complete rules: https://t.co/Df4dg006Cw \n\n#SecuredTheBagAtWalmartContest'
1517217730465714176,2022-04-21 19:04:30+00:00,"b'It\xe2\x80\x99s @robspopcorn contest time people \xf0\x9f\xa5\xb3 Enter to win the #SecuredTheBagAtWalmartContest by heading over to your local Walmart, take a photo or video of your beautiful faces with a Rob\xe2\x80\x99s bag in the store, and share to socials with the hashtag. https://t.co/9ZOjocEfSF'"
1512138976882151426,2022-04-07 18:43:20+00:00,"b'RT @ClaimToFameABC: In a house filled with celebrity relatives, who can keep their identity a secret? \xf0\x9f\xa4\xab Find out when #ClaimToFame premiere\xe2\x80\xa6'"
1511438817500094464,2022-04-05 20:21:09+00:00,b'RT @FallonTonight: \xe2\x80\x9cThere may have been some tequila before we came out here.\xe2\x80\x9d \n\n-@kevinjonas &amp; @daniellejonas talk about stage fright whil\xe2\x80\xa6'
1511426408500801536,2022-04-05 19:31:51+00:00,b'All laughs with @jimmyfallon \xf0\x9f\x98\x82 We loved sharing the inspiration behind #TheresARockConcertInMyBedroom. Thanks for having us @fallontonight!!\n\n\xf0\x9f\x93\xb8: Todd Owyoung/NBC https://t.co/hXZMcWTWv6'
1511138693527998468,2022-04-05 00:28:34+00:00,b'RT @FallonTonight: #PassThePhone with @KevinJonas &amp; @DanielleJonas! #FallonTonight https://t.co/LeqRxLlqpu'
